Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		6,912 K	80,112 K	88		
System Idle Process	91.77	60 K	8 K	0		
System	1.05	196 K	144 K	4		
 Interrupts	4.54	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,160 K	1,116 K	332		
 Memory Compression		220 K	3,184 K	2004		
csrss.exe		1,660 K	5,196 K	424		
wininit.exe		1,332 K	6,688 K	504		
 services.exe		4,940 K	9,720 K	640		
  svchost.exe		924 K	4,324 K	752	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		11,616 K	29,988 K	836	Host Process for Windows Services	Microsoft Corporation
   dllhost.exe		1,968 K	8,576 K	4552	COM Surrogate	Microsoft Corporation
   StartMenuExperienceHost.exe		24,348 K	73,024 K	4704		
   RuntimeBroker.exe		4,148 K	23,764 K	4956	Runtime Broker	Microsoft Corporation
   SearchUI.exe	Suspended	133,908 K	211,040 K	712	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		20,564 K	56,980 K	2732	Runtime Broker	Microsoft Corporation
   ApplicationFrameHost.exe		15,400 K	34,220 K	4768	Application Frame Host	Microsoft Corporation
   MicrosoftEdge.exe	Suspended	21,932 K	61,124 K	5152	Microsoft Edge	Microsoft Corporation
   RuntimeBroker.exe		5,300 K	21,916 K	5440	Runtime Broker	Microsoft Corporation
   browser_broker.exe		2,884 K	15,004 K	5448	Browser_Broker	Microsoft Corporation
   RuntimeBroker.exe		1,488 K	7,328 K	5704	Runtime Broker	Microsoft Corporation
    MicrosoftEdgeSH.exe	Suspended	3,880 K	13,220 K	5888	Microsoft Edge Web Platform	Microsoft Corporation
   MicrosoftEdgeCP.exe	Suspended	5,712 K	25,144 K	5816	Microsoft Edge Content Process	Microsoft Corporation
   dllhost.exe		4,352 K	14,032 K	3180	COM Surrogate	Microsoft Corporation
   WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe		8,652 K	37,612 K	4844	WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	11,332 K	48,904 K	7916	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe		5,744 K	20,636 K	6932	Runtime Broker	Microsoft Corporation
   Microsoft.Photos.exe	Suspended	38,544 K	10,588 K	9848		
   RuntimeBroker.exe		4,808 K	16,740 K	384	Runtime Broker	Microsoft Corporation
   WWAHost.exe	Suspended	24,932 K	65,820 K	4664	Microsoft WWA Host	Microsoft Corporation
   smartscreen.exe		18,104 K	31,564 K	5168	Windows Defender SmartScreen	Microsoft Corporation
   SkypeApp.exe	Suspended	107,912 K	93,624 K	6772	SkypeApp	Microsoft Corporation
   RuntimeBroker.exe		5,116 K	21,624 K	10108	Runtime Broker	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,852 K	1,148 K	1408	Microsoft Skype	Microsoft Corporation
